"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-08-01 ~ 2024-08-31"
"실거래구분 : 상업업무용(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","매수","매도","계약년월","계약일","지분구분","건축년도","해제사유발생일","거래유형","중개사소재지"
"938","경기도 시흥시 배곧동","집합","231","서울대학로264번길","일반상업","제1종근린생활","25m미만","59.40"," ","16,700","6","기타","개인","202408","26","","2017","20241014","직거래","-"
"939","경기도 고양시 일산동구 마두동","집합","785","강송로","제3종일반주거","제2종근린생활","25m미만","13.60"," ","800","","개인","개인","202408","26","","1994","-","직거래","-"
"940","경상남도 창원시 성산구 상남동","집합","36-1","단정로","일반상업","제2종근린생활","25m미만","102.40"," ","12,500","4","개인","법인","202408","26","","","-","중개거래","경남 창원시 성산구"
"941","전북특별자치도 장수군 계남면 장안리","일반","6**","희평길","계획관리","제1종근린생활","8m미만","69.40","317.60","1,800","","개인","개인","202408","26","","1997","-","직거래","-"
"942","대전광역시 중구 용두동","일반","1**","계룡로","제3종일반주거","제2종근린생활","25m이상","258.60","183.50","116,000","","법인","법인","202408","26","","2019","-","중개거래","대전 유성구"
"943","경기도 시흥시 배곧동","집합","231","서울대학로264번길","일반상업","제1종근린생활","25m미만","154.02"," ","46,800","6","기타","개인","202408","26","","2017","20241014","직거래","-"
"944","대구광역시 북구 노원동1가","일반","*","침산남로13길","제1종일반주거","제1종근린생활","12m미만","519.46","267.00","43,500","","개인","개인","202408","26","","1983","-","직거래","-"
"945","경기도 용인시 처인구 포곡읍 전대리","집합","476-2","성산로","제2종일반주거","제2종근린생활","25m미만","141.12"," ","16,000","2","개인","기타","202408","26","","2019","-","중개거래","경기 용인시 처인구"
"946","경상남도 창녕군 남지읍 남지리","일반","2**","낙동로","제2종일반주거","제2종근린생활","25m미만","338.64","145.00","24,500","","개인","개인","202408","26","","1995","-","직거래","-"
"947","대전광역시 동구 대동","일반","4**","용운로1번길","제3종일반주거","제1종근린생활","12m미만","134.49","31.52","5,000","","개인","개인","202408","26","지분","1997","-","직거래","-"
"948","광주광역시 광산구 월계동","일반","7**","첨단내촌로11번길","제2종일반주거","제1종근린생활","12m미만","376.66","226.80","50,000","","개인","개인","202408","26","","1997","-","직거래","-"
"949","경기도 파주시 탄현면 법흥리","집합","1787","사슴벌레로","계획관리","기타","25m미만","84.96"," ","21,500","","개인","개인","202408","26","","2004","-","중개거래","경기 파주시"
"950","경상남도 양산시 물금읍 가촌리","집합","1292","증산역로","유통상업","판매","25m이상","45.00"," ","96,829","","개인","법인","202408","26","","2018","20240930","직거래","-"
"951","서울특별시 중구 신당동","집합","217-91","청계천로","일반상업","판매","25m이상","5.70"," ","31,000","","개인","개인","202408","26","","1983","-","직거래","-"
"952","서울특별시 중구 신당동","일반","1**","퇴계로86길","제3종일반주거","제2종근린생활","12m미만","96.56","35.90","22,543","","개인","개인","202408","26","지분","1958","-","직거래","-"
"953","서울특별시 중구 신당동","집합","193-2","마장로1가길","일반상업","판매","25m이상","5.82"," ","23,000","","개인","개인","202408","26","","2006","-","직거래","-"
"954","경상남도 양산시 물금읍 가촌리","집합","1292","증산역로","유통상업","판매","25m이상","45.00"," ","96,829","","개인","법인","202408","26","","2018","20240930","직거래","-"
"955","경기도 김포시 대곶면 초원지리","일반","5**","대곶북로","자연녹지","제2종근린생활","8m미만","308.40","1556.00","99,928","","개인","개인","202408","26","","2005","-","중개거래","경기 김포시"
"956","경상남도 양산시 물금읍 가촌리","집합","1280-4","새실로","일반상업","제2종근린생활","25m미만","218.75"," ","40,000","2","개인","법인","202408","26","","","-","중개거래","경남 양산시"
"957","충청남도 천안시 서북구 성환읍 성환리","일반","4**","성환9길","일반상업","제1종근린생활","12m미만","327.17","331.00","95,000","","법인","개인","202408","26","","1997","-","중개거래","대구 수성구, 충남 당진시"
"958","충청남도 천안시 서북구 성환읍 도하리","일반","4**","도감1길","계획관리","제1종근린생활","8m미만","160.30","453.00","20,940","","개인","개인","202408","26","","2016","-","직거래","-"
"959","경상남도 통영시 광도면 죽림리","집합","1580","죽림2로","준주거","제1종근린생활","25m미만","77.14"," ","69,854","1","개인","개인","202408","26","","2024","-","직거래","-"
"960","세종특별자치시  연서면 고복리","일반","5**","안산길","보전관리","제2종근린생활","8m미만","85.10","881.00","72,000","","개인","개인","202408","26","","2017","-","중개거래","세종"
"961","인천광역시 중구 중산동","집합","1886-4","하늘별빛로65번길","중심상업","숙박","25m미만","21.70"," ","6,500","5","개인","개인","202408","26","","2021","-","중개거래","인천 중구"
"962","경상북도 김천시 어모면 다남리","일반","6**","다남2길","계획관리","제2종근린생활","8m미만","67.50","325.00","3,500","","개인","개인","202408","26","","2019","-","중개거래","경북 김천시"
"963","서울특별시 구로구 고척동","집합","51-11","중앙로10길","준공업","제2종근린생활","12m미만","40.79"," ","31,000","1","개인","개인","202408","26","","1980","-","중개거래","서울 구로구"
"964","경기도 화성시 우정읍 조암리","일반","3**","조암서로","제2종일반주거","제2종근린생활","25m미만","82.74","69.00","10,000","","개인","개인","202408","26","","","-","중개거래","경기 화성시"
"965","울산광역시 남구 여천동","일반","1***","화합로","준공업","제1종근린생활","8m미만","500.10","586.50","21,000","","개인","개인","202408","26","지분","","-","직거래","-"
"966","경기도 안양시 만안구 안양동","집합","676-1","안양로","일반상업","판매","25m이상","6.12"," ","5,300","2","개인","개인","202408","26","","2004","-","직거래","-"
"967","경기도 부천시 원미구 심곡동","집합","89-1","부천로","제2종일반주거","제2종근린생활","25m이상","30.24"," ","24,279","2","개인","개인","202408","26","","2019","-","직거래","-"
"968","경기도 부천시 원미구 심곡동","집합","89-1","부천로","제2종일반주거","제2종근린생활","25m이상","128.22"," ","87,927","2","개인","개인","202408","26","","2019","-","직거래","-"
"969","경기도 부천시 원미구 심곡동","집합","89-1","부천로","제2종일반주거","제2종근린생활","25m이상","77.88"," ","54,231","2","개인","개인","202408","26","","2019","-","직거래","-"
"970","서울특별시 강북구 미아동","집합","35-4","도봉로","일반상업","업무","25m이상","3.90"," ","4,000","20","개인","개인","202408","26","","2007","-","중개거래","서울 강북구"
"971","인천광역시 서구 청라동","집합","157-21","청라커낼로260번길","일반상업","제2종근린생활","25m미만","54.94"," ","42,750","","개인","개인","202408","26","","2019","-","중개거래","인천 서구"
"972","경기도 부천시 원미구 심곡동","집합","89-1","부천로","제2종일반주거","제2종근린생활","25m이상","98.79"," ","64,215","2","개인","개인","202408","26","","2019","-","직거래","-"
"973","충청남도 천안시 동남구 대흥동","집합","165","옛시청길","일반상업","판매","12m미만","4.86"," ","300","","개인","개인","202408","26","","1982","-","직거래","-"
"974","울산광역시 남구 야음동","집합","937","중앙로47번길","제3종일반주거","제2종근린생활","25m미만","107.69"," ","40,000","2","개인","법인","202408","26","","2019","-","직거래","-"
"975","서울특별시 용산구 원효로2가","일반","7*","원효로","제3종일반주거","제2종근린생활","25m이상","1302.10","515.60","1,114,000","","법인","개인","202408","26","","1970","-","직거래","-"
"976","서울특별시 용산구 원효로2가","일반","7*","","제3종일반주거","제2종근린생활","8m미만","59.51","199.70","344,039","","법인","법인","202408","26","","1955","-","직거래","-"
"977","서울특별시 용산구 원효로2가","일반","7*","원효로","제3종일반주거","제2종근린생활","8m미만","167.27","218.20","381,190","","법인","법인","202408","26","","1965","-","직거래","-"
"978","서울특별시 용산구 원효로2가","일반","7*","","제3종일반주거","제2종근린생활","8m미만","154.12","158.70","276,864","","법인","법인","202408","26","","1971","-","직거래","-"
"979","서울특별시 용산구 원효로2가","일반","7*","","제3종일반주거","제2종근린생활","25m이상","201.65","430.00","753,898","","법인","법인","202408","26","","1995","-","직거래","-"
"980","서울특별시 용산구 원효로2가","일반","7*","원효로","제3종일반주거","제1종근린생활","25m이상","354.39","124.20","248,999","","법인","법인","202408","26","","1992","-","직거래","-"
"981","서울특별시 강북구 미아동","집합","35-4","도봉로","일반상업","업무","25m이상","3.90"," ","4,000","20","개인","개인","202408","26","","2007","-","중개거래","서울 강북구"
"982","인천광역시 서구 원당동","집합","1041-4","이음대로","일반상업","제2종근린생활","25m이상","43.56"," ","95,000","1","개인","개인","202408","26","","2022","-","중개거래","인천 서구"
"983","경상북도 포항시 북구 죽도동","집합","557-91","해동로","일반상업","제1종근린생활","25m이상","56.95"," ","3,600","1","개인","개인","202408","26","","1981","-","직거래","-"
"984","경기도 양주시 장흥면 부곡리","일반","4**","가마골로","제2종일반주거","제1종근린생활","8m미만","123.75","33.00","4,430","","개인","개인","202408","26","지분","2001","20241126","직거래","-"
"985","서울특별시 강북구 미아동","집합","35-4","도봉로","일반상업","업무","25m이상","3.90"," ","4,000","20","개인","개인","202408","26","","2007","-","중개거래","서울 강북구"
"986","전라남도 신안군 증도면 우전리","일반","2**","","계획관리","숙박","12m미만","6.80","7.45","280","","개인","법인","202408","26","지분","2005","-","직거래","-"
"987","인천광역시 중구 운서동","집합","2807-4","흰바위로59번길","일반상업","판매","25m이상","191.84"," ","5,500","2","법인","개인","202408","26","지분","2017","-","직거래","-"
"988","전라남도 진도군 의신면 초사리","집합","1204","송군길","계획관리","숙박","12m미만","37.55"," ","15,400","6","개인","법인","202408","26","","2019","-","직거래","-"
"989","전라남도 영광군 대마면 화평리","일반","2**","화평길3길","농림","제1종근린생활","8m미만","76.00","255.00","1,300","","개인","개인","202408","26","","1986","-","직거래","-"
"990","경기도 가평군 설악면 선촌리","일반","4**","유명로","제2종일반주거","제2종근린생활","12m미만","126.96","396.00","30,540","","법인","개인","202408","26","","1993","-","직거래","-"
"991","경기도 양평군 양평읍 양근리","일반","6**","남북로","제1종일반주거","제2종근린생활","12m미만","545.13","360.80","200,000","","개인","개인","202408","26","","2024","-","중개거래","경기 양평군"
"992","경상남도 창원시 마산합포구 완월동","집합","478","완월남8길","제2종일반주거","제1종근린생활","25m미만","30.75"," ","4,300","1","개인","개인","202408","26","","1994","-","중개거래","경남 창원시 마산합포구"
"993","경상남도 창원시 마산합포구 산호동","집합","651","합포동6길","준주거","제1종근린생활","25m이상","51.28"," ","43,800","1","법인","기타","202408","26","","2021","-","직거래","-"
"994","경상남도 창원시 마산합포구 산호동","집합","651","합포동6길","준주거","제1종근린생활","25m이상","63.19"," ","54,000","1","법인","기타","202408","26","","2021","-","직거래","-"
"995","경상남도 창원시 의창구 소계동","일반","7**","소계로84번길","제1종일반주거","제1종근린생활","12m미만","140.63","135.40","22,000","","개인","개인","202408","26","","1986","-","중개거래","경남 창원시 마산회원구, 경남 창원시 의창구"
"996","전라남도 장흥군 장흥읍 건산리","일반","3**","흥성로","준주거","제2종근린생활","12m미만","817.90","369.00","150,000","","법인","개인","202408","26","","2001","-","직거래","-"
"997","전라남도 곡성군 석곡면 방송리","일반","2**","방송2길","농림","제2종근린생활","8m미만","198.00","650.00","13,000","","법인","개인","202408","26","","2017","-","직거래","-"
"998","경상남도 창원시 마산합포구 산호동","집합","651","합포동6길","준주거","제1종근린생활","25m이상","55.13"," ","47,000","1","법인","기타","202408","26","","2021","-","직거래","-"
"999","경상남도 창원시 마산합포구 산호동","집합","651","합포동6길","준주거","제1종근린생활","25m이상","57.11"," ","48,800","1","법인","기타","202408","26","","2021","-","직거래","-"
"1000","경상남도 창원시 마산회원구 양덕동","집합","62-76","양덕남5길","제3종일반주거","제1종근린생활","12m미만","33.98"," ","5,000","","개인","개인","202408","26","","1982","-","중개거래","경남 창원시 의창구"
"1001","전라남도 나주시 남평읍 남평리","일반","1*","남평2로","제2종일반주거","제2종근린생활","12m미만","229.59","166.00","23,000","","개인","개인","202408","26","","1995","-","중개거래","전남 나주시"
"1002","충청남도 예산군 봉산면 효교리","일반","6**","효교3길","계획관리","제2종근린생활","8m미만","193.56","594.00","11,000","","개인","개인","202408","26","","1997","20240827","중개거래","충남 당진시"
"1003","충청남도 서천군 기산면 신산리","일반","3**","기산길","계획관리","제2종근린생활","12m미만","115.20","442.00","2,000","","개인","개인","202408","26","","2006","-","직거래","-"
"1004","인천광역시 미추홀구 용현동","집합","557-1","낙섬중로","준주거","제1종근린생활","25m미만","24.42"," ","11,900","1","개인","개인","202408","26","","1990","-","중개거래","인천 미추홀구"
"1005","경상남도 창원시 마산합포구 교원동","일반","1*","교방동6길","일반상업","제2종근린생활","8m미만","160.49","172.00","50,000","","개인","개인","202408","26","","1988","-","중개거래","경남 창원시 마산합포구"
"1006","충청남도 천안시 서북구 불당동","집합","1485","번영로","일반상업","업무","25m이상","32.38"," ","12,900","8","법인","개인","202408","26","","2021","-","중개거래","충남 천안시 서북구"
"1007","인천광역시 미추홀구 용현동","집합","630-10","아암대로","일반상업","교육연구","25m이상","113.10"," ","16,200","3","개인","법인","202408","26","","2003","-","중개거래","경기 양주시"
"1008","충청남도 부여군 규암면 노화리","일반","3**","흥수로505번길","계획관리","제2종근린생활","12m미만","35.91","332.00","5,500","","개인","개인","202408","26","","2019","-","중개거래","충남 공주시, 충남 부여군"
"1009","인천광역시 미추홀구 용현동","집합","630-10","아암대로","일반상업","교육연구","25m이상","117.45"," ","16,200","3","개인","법인","202408","26","","2003","-","중개거래","경기 양주시"
"1010","서울특별시 성북구 성북동1가","집합","35-18","창경궁로","제3종일반주거","업무","25m이상","28.83"," ","17,000","5","개인","개인","202408","26","","2002","-","중개거래","서울 성북구"
"1011","충청남도 천안시 서북구 두정동","집합","1498","두정로","일반상업","제2종근린생활","25m이상","51.30"," ","12,000","1","개인","개인","202408","26","","2004","-","중개거래","충남 천안시 서북구"
"1012","인천광역시 부평구 십정동","집합","303-23","배곶북로9번길","제2종일반주거","제1종근린생활","12m미만","39.76"," ","6,500","1","개인","개인","202408","26","","2010","-","중개거래","인천 미추홀구"
"1013","충청남도 금산군 진산면 묵산리","일반","4**","대둔산로","계획관리","숙박","8m미만","1613.80","4075.00","223,324","","법인","개인","202408","26","","2018","20250415","직거래","-"
"1014","경기도 수원시 팔달구 인계동","일반","1***","인계로","중심상업","교육연구","25m이상","54.45","12.22","14,409","","개인","개인","202408","26","지분","1995","-","직거래","-"
"1015","인천광역시 부평구 부평동","집합","182-3","경원대로","일반상업","제1종근린생활","25m이상","29.32"," ","17,000","","개인","개인","202408","26","","2005","-","중개거래","인천 부평구"
"1016","인천광역시 부평구 부평동","집합","182-3","경원대로","일반상업","제2종근린생활","25m이상","31.24"," ","17,500","","개인","개인","202408","26","","2005","-","중개거래","인천 부평구"
"1017","부산광역시 서구 암남동","집합","123-27","등대로","일반상업","숙박","25m미만","43.97"," ","39,226","13","개인","개인","202408","26","","2024","-","중개거래","부산 서구"
"1018","서울특별시 영등포구 여의도동","집합","44-13","여의대방로69길","일반상업","업무","25m미만","31.05"," ","23,320","5","개인","개인","202408","26","","1982","-","중개거래","서울 도봉구, 서울 영등포구"
"1019","서울특별시 구로구 구로동","집합","611-26","구로중앙로","준공업","제1종근린생활","25m이상","32.30"," ","24,000","1","개인","개인","202408","26","","2004","-","중개거래","서울 구로구"
"1020","경기도 화성시 장지동","집합","971-6","동탄대로4길","준주거","제2종근린생활","12m미만","75.60"," ","48,000","3","개인","법인","202408","26","","2020","-","직거래","-"
"1021","서울특별시 구로구 구로동","집합","1258","경인로53길","준공업","판매","25m이상","20.88"," ","29,000","","개인","개인","202408","26","","1996","-","중개거래","서울 구로구"
"1022","충청남도 아산시 음봉면 산동리","일반","3**","산동안길70번길","일반공업","제2종근린생활","8m미만","280.62","928.00","55,873","","개인","법인","202408","26","","","20250318","직거래","-"
"1023","경기도 성남시 분당구 구미동","집합","182","구미로9번길","일반상업","제2종근린생활","25m미만","103.00"," ","82,500","1","법인","개인","202408","26","","2002","-","중개거래","경기 성남시 분당구"
"1024","경기도 성남시 분당구 구미동","집합","297-2","구미로173번길","일반상업","기타","25m이상","46.59"," ","30,500","8","개인","개인","202408","26","","2003","-","중개거래","경기 성남시 분당구"
"1025","충청북도 단양군 단양읍 상진리","집합","4-1","삼봉로","자연녹지","숙박","25m미만","40.80"," ","570","8","개인","개인","202408","26","지분","2004","-","직거래","-"
"1026","경기도 양평군 옥천면 신복리","집합","141-5","신촌길","계획관리","숙박","12m미만","45.00"," ","1,769","45","법인","개인","202408","26","지분","1988","-","직거래","-"
"1027","경기도 성남시 수정구 수진동","일반","4***","성남대로","준주거","제2종근린생활","8m미만","199.31","822.20","800,000","","법인","법인","202408","26","","1976","20241226","중개거래","서울 강남구"
"1028","경기도 성남시 수정구 수진동","일반","4***","성남대로","준주거","제2종근린생활","8m미만","199.31","822.20","800,000","","법인","기타","202408","26","","1976","-","중개거래","서울 강남구"
"1029","충청북도 제천시 백운면 평동리","집합","707","금봉로","계획관리","숙박","12m미만","70.12"," ","2,227","","법인","법인","202408","26","지분","2012","-","직거래","-"
"1030","충청북도 제천시 백운면 평동리","집합","707","금봉로","계획관리","숙박","12m미만","54.40"," ","1,136","","법인","법인","202408","26","지분","2012","-","직거래","-"
"1031","경기도 양평군 개군면 자연리","일반","2*","윗터길","보전관리","기타","8m미만","387.10","2260.00","22,000","","개인","기타","202408","26","","","-","직거래","-"
"1032","서울특별시 강남구 삼성동","일반","1**","영동대로96길","제3종일반주거","업무","8m미만","1996.08","1119.60","7,797,118","","법인","법인","202408","26","","","-","직거래","-"
"1033","서울특별시 강남구 삼성동","일반","1**","영동대로","제3종일반주거","업무","25m이상","4269.56","1311.00","22,598,954","","법인","법인","202408","26","","1992","-","직거래","-"
"1034","서울특별시 영등포구 여의도동","집합","35-5","여의나루로","일반상업","제1종근린생활","25m이상","46.38"," ","109,000","3","법인","개인","202408","26","","1979","-","중개거래","서울 영등포구"
"1035","서울특별시 양천구 목동","일반","9**","목동서로","일반상업","기타","25m이상","90434.39","16415.70","31,189,830","","법인","법인","202408","26","","","-","직거래","-"
"1036","경상남도 창원시 성산구 상남동","집합","36-1","단정로","일반상업","제2종근린생활","25m미만","107.20"," ","12,500","4","개인","법인","202408","26","","2003","-","중개거래","경남 창원시 성산구"
"1037","서울특별시 양천구 신월동","일반","4**","국회대로","제2종일반주거","제1종근린생활","25m이상","77.63","191.10","131,838","","법인","개인","202408","26","지분","1992","-","직거래","-"
"1038","서울특별시 강서구 염창동","일반","2**","양천로65길","준공업","제2종근린생활","12m미만","936.74","117.90","120,000","","개인","개인","202408","26","지분","2010","-","직거래","-"
"1039","전북특별자치도 전주시 완산구 효자동2가","일반","1***","후곡길","제1종일반주거","제2종근린생활","12m미만","359.39","253.10","50,000","","개인","개인","202408","26","","2014","-","직거래","-"
"1040","서울특별시 광진구 화양동","집합","7-3","아차산로","일반상업","업무","25m이상","20.76"," ","16,700","7","개인","개인","202408","26","","2006","-","중개거래","서울 광진구"
"1041","서울특별시 광진구 화양동","집합","7-3","아차산로","일반상업","업무","25m이상","30.30"," ","21,200","10","개인","개인","202408","26","","2006","-","중개거래","서울 광진구"
"1042","경기도 안양시 동안구 비산동","집합","1102","학의로","제3종일반주거","제1종근린생활","25m이상","18.56"," ","15,800","","개인","개인","202408","26","","1992","-","중개거래","경기 안양시 동안구"
"1043","서울특별시 강서구 염창동","일반","2**","양천로65길","준공업","제2종근린생활","12m미만","933.12","116.85","120,000","","개인","개인","202408","26","지분","2010","-","직거래","-"
"1044","경기도 안양시 동안구 호계동","집합","1065-4","평촌대로","일반상업","교육연구","25m이상","111.25"," ","53,000","","개인","개인","202408","26","","1995","-","중개거래","경기 안양시 동안구"
"1045","충청북도 청주시 청원구 내수읍 세교리","일반","2**","초정약수로","계획관리","제1종근린생활","25m미만","294.00","1990.00","77,665","","법인","법인","202408","25","","2024","-","직거래","-"
"1046","경기도 남양주시 별내동","집합","1005","별내중앙로","일반상업","판매","25m이상","29.23"," ","42,000","","개인","개인","202408","25","","2021","-","직거래","-"
"1047","인천광역시 강화군 강화읍 신문리","일반","1**","강화대로","일반상업","제1종근린생활","25m이상","395.02","374.00","120,000","","개인","개인","202408","25","","","-","중개거래","인천 강화군"
"1048","경기도 고양시 일산동구 마두동","집합","798-5","중앙로","일반상업","제2종근린생활","25m이상","75.06"," ","19,200","","개인","개인","202408","25","","1995","-","중개거래","경기 고양시 일산동구"
"1049","경기도 고양시 일산동구 마두동","집합","798-5","중앙로","일반상업","제2종근린생활","25m이상","81.30"," ","20,800","","개인","개인","202408","25","","1995","-","중개거래","경기 고양시 일산동구"
"1050","서울특별시 중구 을지로7가","집합","105","을지로","일반상업","숙박","25m이상","23.23"," ","14,000","","개인","개인","202408","25","","2006","-","중개거래","서울 중구"
"1051","대전광역시 중구 대흥동","집합","513-1","대흥로","일반상업","업무","25m이상","20.65"," ","5,000","9","법인","개인","202408","25","","1991","-","직거래","-"
"1052","경기도 화성시 팔탄면 노하리","일반","1**","노하길","계획관리","제1종근린생활","12m미만","196.00","931.00","75,000","","개인","개인","202408","25","","2007","-","직거래","-"
"1053","인천광역시 부평구 부평동","집합","377-7","장제로","일반상업","업무","25m이상","231.82"," ","50,000","3","개인","개인","202408","25","","2013","-","직거래","-"
"1054","경기도 양평군 단월면 산음리","일반","6**","석산로","계획관리","제2종근린생활","-","98.97","714.00","33,750","","개인","개인","202408","25","","2024","-","직거래","-"
"1055","인천광역시 남동구 간석동","집합","383-16","석산로9번길","제2종일반주거","제2종근린생활","8m미만","26.64"," ","3,000","1","개인","개인","202408","25","","2018","-","직거래","-"
"1056","인천광역시 남동구 구월동","집합","1264","호구포로","준주거","제1종근린생활","25m이상","29.56"," ","10,000","2","개인","개인","202408","25","","2002","-","직거래","-"
"1057","충청북도 괴산군 칠성면 송동리","일반","9*","명태재로","보전관리","제1종근린생활","8m미만","207.36","734.00","40,000","","개인","개인","202408","25","","2015","-","직거래","-"
"1058","서울특별시 구로구 구로동","집합","685-70","구일로4길","준공업","판매","25m미만","18.75"," ","21,900","1","개인","개인","202408","25","","1989","-","중개거래","서울 구로구"
"1059","충청남도 논산시 벌곡면 수락리","일반","1**","수락계곡길","계획관리","제2종근린생활","12m미만","181.10","498.00","24,500","","개인","개인","202408","25","","1997","-","직거래","-"
"1060","서울특별시 영등포구 대림동","집합","694-2","도림로47길","제3종일반주거","제2종근린생활","25m미만","16.30"," ","11,000","1","개인","개인","202408","25","","2018","-","중개거래","서울 영등포구"
"1061","경상남도 창원시 의창구 북면 신촌리","집합","561-1","","제2종일반주거","제1종근린생활","12m미만","18.70"," ","2,800","1","개인","개인","202408","25","","1994","-","직거래","-"
"1062","부산광역시 사하구 신평동","일반","1*","다대로130번안길","제2종일반주거","제2종근린생활","8m미만","999.75","714.00","100,000","","개인","기타","202408","25","","1992","-","직거래","-"
"1063","전북특별자치도 전주시 완산구 서노송동","집합","698-15","물왕멀2길","일반상업","제2종근린생활","8m미만","8.90"," ","2,000","3","개인","개인","202408","25","","2004","-","직거래","-"
"1064","전북특별자치도 전주시 완산구 서노송동","집합","698-15","물왕멀2길","일반상업","제2종근린생활","8m미만","9.70"," ","2,700","3","개인","개인","202408","25","","2004","-","직거래","-"
"1065","전북특별자치도 전주시 완산구 서노송동","집합","698-15","물왕멀2길","일반상업","제2종근린생활","8m미만","9.38"," ","2,700","1","개인","개인","202408","25","","2004","-","직거래","-"
"1066","서울특별시 서초구 잠원동","집합","69-21","","제3종일반주거","판매","25m이상","9.80"," ","53,000","","개인","개인","202408","24","","1983","-","중개거래","서울 서초구"
"1067","서울특별시 강서구 마곡동","집합","774-3","공항대로","일반상업","업무","25m이상","36.26"," ","18,200","10","개인","개인","202408","24","","2018","-","중개거래","서울 강서구"
"1068","경상북도 안동시 용상동","집합","1641","길주길","제2종일반주거","제2종근린생활","12m미만","43.56"," ","23,000","1","개인","개인","202408","24","","2019","-","중개거래","경북 안동시"
"1069","전북특별자치도 전주시 완산구 서신동","집합","25-1","백제대로","제2종일반주거","제1종근린생활","25m이상","117.36"," ","51,500","2","개인","법인","202408","24","","2024","-","중개거래","전북 전주시 덕진구"
"1070","경상북도 구미시 원평동","집합","119-16","산업로2길","일반상업","제1종근린생활","12m미만","13.29"," ","4,500","","개인","개인","202408","24","","1984","-","중개거래","경북 구미시"
"1071","대구광역시 동구 신서동","집합","564","금강로","제3종일반주거","제1종근린생활","25m이상","32.16"," ","20,000","1","개인","개인","202408","24","","2015","-","중개거래","대구 동구"
"1072","경기도 수원시 영통구 신동","일반","3**","영통로241번길","일반공업","제2종근린생활","8m미만","752.52","245.00","150,000","","개인","개인","202408","24","","2009","-","직거래","-"
"1073","경상남도 산청군 신안면 하정리","일반","7**","지리산대로","일반상업","제2종근린생활","25m미만","227.79","153.00","60,000","","개인","개인","202408","24","","1990","-","직거래","-"
"1074","충청남도 천안시 동남구 성남면 석곡리","일반","3**","석곡3길","계획관리","제2종근린생활","12m미만","198.78","309.00","27,000","","개인","법인","202408","24","","2022","-","중개거래","서울 강동구"
"1075","경기도 수원시 팔달구 우만동","일반","5**","월드컵로321번길","제2종일반주거","제2종근린생활","12m미만","673.27","371.10","145,000","","개인","개인","202408","24","","1992","-","중개거래","경기 수원시 팔달구, 경기 용인시 기흥구"
"1076","경기도 화성시 향남읍 구문천리","집합","925-8","발안공단로","일반상업","숙박","25m이상","19.01"," ","5,700","","개인","개인","202408","24","","","-","중개거래","경기 화성시"
"1077","서울특별시 관악구 신림동","일반","1**","신림로28길","제2종일반주거","제2종근린생활","8m미만","468.16","165.00","143,000","","개인","개인","202408","24","","2010","-","중개거래","서울 관악구, 서울 서초구"
"1078","경기도 남양주시 진접읍 부평리","일반","3**","부마로","생산관리","제2종근린생활","12m미만","158.40","154.66","17,000","","개인","개인","202408","24","지분","2021","-","직거래","-"
"1079","충청남도 당진시 수청동","집합","1562","수청1로","제2종일반주거","제2종근린생활","25m미만","36.00"," ","39,000","1","개인","개인","202408","24","","2023","20241210","직거래","-"
"1080","경기도 용인시 기흥구 영덕동","집합","975-5","흥덕중앙로","일반상업","업무","25m이상","33.84"," ","12,500","5","개인","개인","202408","24","","2021","-","중개거래","경기 용인시 기흥구"
"1081","경상북도 포항시 북구 장성동","일반","1***","새천년대로1249번길","제1종일반주거","제1종근린생활","25m미만","377.00","231.40","93,500","","개인","개인","202408","24","","2011","-","중개거래","경북 포항시 북구"
"1082","대구광역시 달성군 하빈면 무등리","일반","4**","하빈로140길","제1종일반주거","제2종근린생활","12m미만","99.30","207.00","11,000","","개인","개인","202408","24","","2014","-","중개거래","대구 달성군"
"1083","충청남도 계룡시 두마면 농소리","집합","1014","농소로","준주거","제1종근린생활","25m이상","87.74"," ","21,220","5","개인","법인","202408","24","","2021","-","중개거래","충남 계룡시"
"1084","경기도 수원시 장안구 송죽동","집합","503-16","송원로","준주거","제2종근린생활","25m이상","39.78"," ","24,900","1","개인","개인","202408","24","","2004","-","중개거래","경기 수원시 장안구"
"1085","충청남도 천안시 동남구 청당동","집합","517","청수11로","일반상업","제2종근린생활","25m미만","35.26"," ","44,300","1","개인","개인","202408","24","","2018","-","중개거래","충남 천안시 동남구"
