"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-08-01 ~ 2024-08-31"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"1030","경기도 성남시 수정구 태평동","7***","다가구","8m미만","99.12","107.60","202408","23","71,000","기타","개인","1983","시민로","-","중개거래","경기 성남시 수정구"
"1031","서울특별시 서대문구 홍은동","4**","단독","8m미만","265.21","320.70","202408","23","243,000","개인","개인","1975","증가로8길","-","중개거래","서울 서대문구"
"1032","충청남도 공주시 유구읍 만천리","1**","단독","8m미만","58.42","659.00","202408","23","19,700","개인","개인","2016","작은골1길","-","직거래","-"
"1033","경기도 양평군 용문면 덕촌리","4**","단독","8m미만","119.09","341.00","202408","23","18,250","개인","개인","2017","덕촌길211번길","-","중개거래","경기 양평군"
"1034","부산광역시 부산진구 양정동","3**","단독","12m미만","772.44","219.20","202408","23","110,000","법인","개인","1983","양지로8번길","-","중개거래","부산 연제구"
"1035","충청북도 청주시 청원구 주중동","8**","다가구","25m미만","486.82","263.20","202408","23","85,000","개인","개인","2014","율량로9번길","-","중개거래","충북 청주시 상당구"
"1036","제주특별자치도 서귀포시 표선면 하천리","7**","단독","8m미만","135.53","965.00","202408","23","58,000","개인","개인","1974","하천로99번길","-","중개거래","제주 제주시"
"1037","대전광역시 중구 태평동","3**","다가구","8m미만","123.48","174.20","202408","23","29,500","법인","개인","1977","수침로91번길","-","중개거래","대전 중구"
"1038","전북특별자치도 전주시 완산구 서완산동1가","1*","단독","8m미만","49.60","89.00","202408","23","2,000","개인","개인","2024","완산3길","-","직거래","-"
"1039","제주특별자치도 제주시 아라이동","1***","단독","8m미만","97.12","349.00","202408","23","56,000","개인","법인","2022","월두2길","-","직거래","-"
"1040","경상북도 경주시 인왕동","2**","단독","8m미만","43.97","585.00","202408","23","35,500","개인","개인","1925","해맞이마을1길","-","중개거래","경북 경주시"
"1041","전북특별자치도 정읍시 시기동","4**","단독","8m미만","44.80","140.00","202408","23","13,350","개인","개인","1972","관통로","20241112","중개거래","전북 정읍시"
"1042","경기도 고양시 일산서구 구산동","1***","단독","8m미만","198.33","298.00","202408","23","30,000","개인","개인","1999","법곳길","-","중개거래","경기 고양시 일산서구"
"1043","충청북도 청주시 상당구 용암동","2***","단독","12m미만","401.00","233.50","202408","23","62,000","개인","개인","2003","용암북로80번길","-","중개거래","충북 청주시 상당구"
"1044","서울특별시 중구 광희동2가","1**","단독","8m미만","49.59","92.60","202408","23","75,000","개인","개인","1900","퇴계로66길","-","중개거래","서울 중구"
"1045","경기도 안산시 단원구 대부동동","7**","단독","8m미만","98.79","327.00","202408","23","36,630","개인","개인","2021","대부중앙로","-","직거래","-"
"1046","부산광역시 동구 초량동","6**","단독","8m미만","85.96","56.20","202408","23","33,360","개인","개인","1981","대영로247번길","-","중개거래","부산 수영구"
"1047","경상북도 경산시 백천동","5**","단독","25m미만","330.78","222.70","202408","23","59,500","개인","개인","2006","경청로217길","-","중개거래","경북 경산시"
"1048","서울특별시 동대문구 이문동","1**","다가구","8m미만","117.69","76.00","202408","23","90,000","개인","개인","1993","외대역동로27가길","-","중개거래","서울 동대문구"
"1049","충청남도 당진시 송악읍 중흥리","8**","단독","8m미만","66.16","407.00","202408","23","9,400","개인","개인","1980","중흥새마을길","-","직거래","-"
"1050","서울특별시 동대문구 답십리동","4*","다가구","8m미만","204.12","126.00","202408","23","105,200","개인","개인","1991","답십리로52길","-","중개거래","서울 동대문구"
"1051","인천광역시 옹진군 연평면 연평리","4**","단독","8m미만","45.59","112.00","202408","23","9,000","개인","개인","2016","연평로167번길","-","직거래","-"
"1052","충청북도 청주시 흥덕구 가경동","1***","다가구","12m미만","341.16","203.90","202408","23","45,000","개인","개인","2001","풍년로119번길","-","중개거래","충북 청주시 상당구"
"1053","경기도 가평군 가평읍 마장리","9**","단독","8m미만","82.85","330.00","202408","23","25,370","기타","개인","2014","아랫마장길","-","중개거래","경기 가평군"
"1054","경상남도 진주시 가좌동","1***","단독","12m미만","119.40","208.10","202408","23","22,300","개인","개인","2005","진주대로404번길","-","중개거래","경남 진주시"
"1055","충청남도 홍성군 홍성읍 월산리","8**","다가구","12m미만","503.20","291.20","202408","23","52,000","개인","개인","2008","월계2길","-","중개거래","충남 홍성군"
"1056","경상북도 구미시 선산읍 이문리","*","단독","8m미만","95.04","180.00","202408","23","15,000","개인","개인","2012","선주로10길","-","중개거래","경북 구미시"
"1057","인천광역시 강화군 선원면 신정리","4**","단독","8m미만","72.00","322.00","202408","23","21,600","개인","개인","2018","선원사지로","-","중개거래","인천 강화군"
"1058","충청북도 제천시 수산면 구곡리","2**","단독","8m미만","159.46","991.00","202408","23","18,700","개인","개인","2015","지곡로3안길","-","중개거래","충북 제천시"
"1059","전라남도 담양군 담양읍 향교리","1**","단독","8m미만","139.17","345.00","202408","23","31,700","개인","개인","2014","향교신흥길","-","직거래","-"
"1060","충청북도 청주시 흥덕구 가경동","1***","다가구","12m미만","328.61","195.10","202408","23","50,000","개인","개인","1998","2순환로","-","중개거래","충북 청주시 흥덕구"
"1061","충청남도 천안시 동남구 원성동","5**","단독","12m미만","79.00","156.80","202408","23","18,000","개인","개인","1976","고재6길","20241025","중개거래","충남 천안시 동남구"
"1062","충청북도 옥천군 옥천읍 마암리","1**","단독","25m미만","57.60","363.00","202408","23","7,000","개인","개인","1994","서부로","-","직거래","-"
"1063","인천광역시 강화군 길상면 초지리","6**","단독","8m미만","39.84","238.11","202408","23","14,000","개인","법인","1949","해안동로","-","중개거래","인천 강화군"
"1064","서울특별시 동대문구 전농동","6*","단독","8m미만","43.77","99.00","202408","23","89,850","기타","개인","1966","전농로20다길","-","직거래","-"
"1065","경상북도 청도군 화양읍 고평리","*","단독","8m미만","139.50","678.00","202408","23","35,000","개인","법인","2015","오부실길","-","직거래","-"
"1066","전북특별자치도 임실군 오수면 군평리","4**","단독","8m미만","84.00","440.00","202408","23","4,500","개인","개인","1995","군평2길","-","중개거래","전북 전주시 완산구"
"1067","인천광역시 동구 송림동","1**","단독","8m미만","60.88","106.80","202408","23","14,300","개인","개인","1984","새천년로26번길","-","중개거래","인천 동구"
"1068","경기도 평택시 합정동","7**","단독","12m미만","117.42","180.10","202408","23","22,500","개인","개인","1983","조개터로42번길","-","중개거래","경기 평택시"
"1069","광주광역시 동구 산수동","5**","단독","12m미만","61.15","111.40","202408","23","31,500","개인","개인","1973","무등로449번길","-","중개거래","광주 동구"
"1070","충청남도 홍성군 홍성읍 오관리","1**","다가구","8m미만","146.78","212.00","202408","23","17,000","개인","개인","1979","문화로176번길","-","직거래","-"
"1071","전북특별자치도 전주시 완산구 중화산동2가","5**","단독","25m미만","198.96","199.70","202408","23","33,700","개인","개인","1991","따박골로","-","직거래","-"
"1072","경상북도 영덕군 남정면 부경리","3**","단독","12m미만","174.41","660.00","202408","23","32,500","개인","개인","2015","부경온천길","-","중개거래","대구 달서구"
"1073","경상남도 양산시 동면 금산리","1***","다가구","12m미만","354.56","214.90","202408","23","75,000","법인","개인","2014","금오6길","-","중개거래","경남 양산시"
"1074","강원특별자치도 횡성군 안흥면 소사리","8**","단독","8m미만","104.89","949.00","202408","23","26,970","개인","개인","2023","덧재로","-","중개거래","강원 횡성군"
"1075","충청북도 영동군 추풍령면 추풍령리","7**","단독","8m미만","94.01","905.00","202408","23","13,700","개인","개인","1990","은편2길","-","직거래","-"
"1076","전라남도 함평군 함평읍 기각리","8**","단독","8m미만","73.40","76.00","202408","23","4,400","개인","개인","1973","중앙길","-","직거래","-"
"1077","인천광역시 서구 청라동","1**","다가구","12m미만","380.58","254.00","202408","23","134,300","개인","개인","2016","푸른로8번길","-","중개거래","인천 서구"
"1078","충청북도 제천시 금성면 월림리","5**","단독","8m미만","83.64","590.00","202408","23","19,300","개인","개인","2016","월림로4길","-","중개거래","충북 제천시"
"1079","전북특별자치도 남원시 금지면 서매리","5**","단독","8m미만","63.83","231.00","202408","23","1,400","개인","개인","1936","서재안길","-","직거래","-"
"1080","경상남도 합천군 용주면 팔산리","1**","단독","8m미만","56.20","307.00","202408","23","4,400","개인","개인","2001","노리팔산길","-","중개거래","경남 합천군"
"1081","경기도 성남시 수정구 복정동","7**","다가구","12m미만","407.48","212.90","202408","23","170,000","개인","개인","2002","복정로32번길","-","중개거래","경기 성남시 수정구"
"1082","강원특별자치도 강릉시 연곡면 삼산리","5**","단독","8m미만","194.96","754.00","202408","23","21,450","개인","개인","2002","진고개로","-","직거래","-"
"1083","충청남도 금산군 남일면 음대리","1**","단독","8m미만","189.47","1033.60","202408","23","17,500","개인","개인","1957","음대1길","-","중개거래","충남 금산군"
"1084","울산광역시 울주군 온산읍 덕신리","4**","다가구","8m미만","397.28","229.20","202408","23","60,000","개인","개인","2016","용방소3길","-","중개거래","울산 울주군"
"1085","전라남도 보성군 벌교읍 호동리","7**","단독","8m미만","83.62","251.00","202408","23","9,990","법인","법인","2013","벌교호동길","-","직거래","-"
"1086","충청북도 단양군 가곡면 향산리","4**","단독","8m미만","41.14","228.00","202408","23","5,500","개인","개인","2024","향산1길","-","직거래","-"
"1087","부산광역시 해운대구 우동","3**","단독","8m미만","54.21","106.00","202408","23","75,573","법인","개인","1972","우동1로49번가길","-","직거래","-"
"1088","부산광역시 해운대구 우동","4**","다가구","8m미만","250.85","244.00","202408","23","188,607","법인","개인","1989","우동1로49번가길","20241004","직거래","-"
"1089","부산광역시 해운대구 우동","4**","단독","8m미만","60.00","345.00","202408","23","262,828","법인","개인","1985","우동1로49번가길","20241008","직거래","-"
"1090","전라남도 목포시 산정동","3**","단독","8m미만","25.90","282.50","202408","23","10,000","개인","개인","1984","양을로143번길","-","직거래","-"
"1091","경상북도 봉화군 재산면 상리","5**","단독","8m미만","88.42","500.00","202408","23","5,200","개인","개인","2019","옥동길","-","중개거래","경북 영주시"
"1092","충청북도 청주시 서원구 개신동","6**","단독","25m미만","492.26","287.70","202408","23","58,000","개인","법인","2001","성봉로169번길","-","직거래","-"
"1093","전북특별자치도 무주군 적상면 포내리","3**","단독","8m미만","75.51","205.00","202408","23","15,000","개인","개인","2021","개안길","-","직거래","-"
"1094","전북특별자치도 남원시 향교동","9**","단독","8m미만","49.45","165.00","202408","23","11,500","개인","개인","2016","대복사길","-","직거래","-"
"1095","경상북도 영덕군 달산면 인곡리","1**","단독","8m미만","99.53","537.00","202408","23","2,000","개인","개인","2022","인곡2길","-","직거래","-"
"1096","경기도 이천시 장호원읍 진암리","6**","단독","8m미만","161.97","885.00","202408","23","35,373","개인","개인","2016","복숭아로","-","직거래","-"
"1097","경기도 고양시 일산서구 일산동","1***","다가구","8m미만","444.24","254.00","202408","23","87,000","개인","개인","2001","산현로132번길","20240921","중개거래","경기 고양시 일산서구"
"1098","경상북도 울진군 울진읍 연지리","6**","단독","8m미만","98.16","620.00","202408","23","34,600","개인","개인","2012","연지2길","-","직거래","-"
"1099","경상남도 창녕군 영산면 월령리","6**","단독","8m미만","86.60","495.00","202408","23","12,000","개인","개인","2014","영산월령로","-","직거래","-"
"1100","전북특별자치도 전주시 덕진구 인후동1가","5**","다가구","8m미만","495.22","293.00","202408","23","56,700","개인","개인","2010","심방죽로","-","직거래","-"
"1101","경기도 의정부시 가능동","6**","단독","12m미만","272.25","151.70","202408","23","70,500","개인","개인","1998","의정로","-","중개거래","경기 의정부시"
"1102","충청남도 천안시 동남구 봉명동","2*","다가구","12m미만","636.60","345.00","202408","23","112,000","개인","개인","2012","순천향3길","-","중개거래","충남 천안시 서북구"
"1103","충청북도 괴산군 청천면 관평리","4**","단독","8m미만","70.74","336.00","202408","23","9,800","개인","개인","2015","관평1길","-","중개거래","충북 괴산군"
"1104","경상북도 칠곡군 왜관읍 왜관리","1***","다가구","12m미만","621.03","346.70","202408","23","70,000","개인","개인","2012","달오3길","-","중개거래","경북 칠곡군"
"1105","경상북도 영천시 금호읍 대미리","1***","단독","8m미만","98.39","480.50","202408","23","8,500","개인","개인","2020","돌섬1길","-","직거래","-"
"1106","경기도 성남시 수정구 수진동","1***","단독","8m미만","57.75","62.50","202408","23","76,000","개인","개인","2003","탄리로31번길","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구"
"1107","서울특별시 성동구 행당동","3*","단독","25m이상","54.18","36.00","202408","23","71,000","법인","개인","1986","왕십리로","-","중개거래","서울 성동구"
"1108","울산광역시 울주군 온산읍 덕신리","2**","다가구","12m미만","398.28","228.80","202408","23","66,000","개인","개인","2013","신온5길","-","중개거래","울산 남구"
"1109","충청남도 예산군 예산읍 주교리","1**","단독","12m미만","466.33","1314.90","202408","23","52,000","법인","법인","2010","예중길","-","직거래","-"
"1110","강원특별자치도 인제군 기린면 서리","1**","단독","8m미만","141.96","597.00","202408","23","10,000","개인","개인","1996","대내안길","-","직거래","-"
"1111","전라남도 무안군 몽탄면 사천리","5**","단독","8m미만","52.89","479.00","202408","23","3,700","개인","개인","1970","월천길","-","직거래","-"
"1112","경상남도 하동군 양보면 우복리","4**","단독","8m미만","96.41","660.00","202408","23","11,700","개인","개인","2004","양보로","-","중개거래","경남 진주시"
"1113","전라남도 장흥군 안양면 수문리","2*","단독","8m미만","66.00","269.00","202408","23","3,000","개인","개인","1988","수문용곡로","-","직거래","-"
"1114","전라남도 장흥군 안양면 수문리","3*","단독","8m미만","90.60","496.00","202408","23","16,700","개인","개인","2010","용곡길","-","직거래","-"
"1115","부산광역시 해운대구 송정동","1**","다가구","8m미만","192.93","177.00","202408","23","51,000","개인","개인","1989","송정중앙로15번길","-","중개거래","부산 해운대구"
"1116","강원특별자치도 춘천시 신북읍 산천리","2**","단독","8m미만","96.57","429.00","202408","23","14,314","개인","개인","1991","샘뜨락1길","-","직거래","-"
"1117","경상남도 창원시 진해구 경화동","1***","단독","8m미만","99.54","170.10","202408","23","25,000","개인","개인","2011","충장로","-","중개거래","경남 창원시 진해구"
"1118","울산광역시 울주군 온양읍 운화리","5*","다가구","12m미만","439.82","281.10","202408","23","63,000","개인","개인","2014","태화9길","-","중개거래","울산 울주군"
"1119","경상남도 통영시 용남면 장평리","6**","단독","8m미만","99.79","376.00","202408","23","31,000","개인","개인","2018","연기길","-","중개거래","경남 통영시"
"1120","충청북도 제천시 수산면 오티리","8*","단독","8m미만","73.00","131.00","202408","23","5,000","개인","개인","1986","청풍호로","-","직거래","-"
"1121","강원특별자치도 강릉시 죽헌동","2**","단독","8m미만","150.15","1025.00","202408","23","16,421","법인","개인","1975","율곡로3139번길","-","직거래","-"
"1122","서울특별시 은평구 불광동","4**","다가구","8m미만","149.49","112.00","202408","23","60,000","개인","개인","1993","연서로35길","-","중개거래","서울 은평구"
"1123","전라남도 곡성군 목사동면 평리","1**","단독","8m미만","72.75","283.00","202408","23","3,000","개인","개인","1996","평리1길","-","직거래","-"
"1124","전북특별자치도 김제시 청하면 월현리","5**","단독","8m미만","93.20","481.50","202408","23","2,900","개인","개인","1993","월현4길","-","직거래","-"
"1125","전라남도 목포시 대성동","9*","단독","8m미만","165.48","167.00","202408","23","4,940","개인","개인","1989","만세로48번길","-","직거래","-"
"1126","전라남도 목포시 대성동","9*","단독","8m미만","40.99","106.00","202408","23","2,060","개인","개인","","만세로48번길","-","직거래","-"
"1127","경상북도 경주시 외동읍 입실리","1***","다가구","8m미만","401.31","248.00","202408","23","41,000","개인","개인","2010","산업로","-","중개거래","울산 남구"
"1128","강원특별자치도 원주시 문막읍 포진리","6**","단독","8m미만","23.97","722.00","202408","23","18,000","개인","개인","1983","귀문로","-","직거래","-"
"1129","경상남도 창원시 진해구 여좌동","7**","다가구","8m미만","178.60","178.50","202408","23","24,500","개인","개인","2003","여좌로15번길","-","중개거래","경남 창원시 진해구"
"1130","전라남도 여수시 광무동","9**","단독","8m미만","92.64","158.50","202408","23","9,800","개인","개인","1992","광무남3길","-","중개거래","전남 순천시"
"1131","경기도 화성시 우정읍 화수리","3**","단독","8m미만","32.90","123.00","202408","23","8,080","개인","개인","2020","원안길","20240913","중개거래","경기 화성시"
"1132","경상북도 영양군 영양읍 하원리","1**","단독","8m미만","57.27","400.00","202408","23","4,500","개인","개인","1930","연지길","-","직거래","-"
"1133","강원특별자치도 평창군 대관령면 차항리","1**","단독","8m미만","202.83","456.00","202408","23","15,000","개인","개인","1977","차항길","-","직거래","-"
"1134","전라남도 장흥군 장흥읍 남동리","4*","단독","8m미만","38.35","66.00","202408","23","1,000","개인","개인","1925","읍성로","-","직거래","-"
"1135","서울특별시 도봉구 쌍문동","3**","단독","8m미만","177.03","106.00","202408","23","80,000","개인","개인","2021","노해로42길","-","중개거래","서울 노원구"
"1136","경상북도 영천시 금호읍 대미리","1***","단독","8m미만","98.39","480.50","202408","23","15,000","개인","개인","2020","돌섬1길","20240823","직거래","-"
"1137","경기도 남양주시 수동면 지둔리","3*","다가구","8m미만","157.58","436.00","202408","23","37,000","기타","개인","2015","비룡로수자1길","20240826","직거래","-"
"1138","경상북도 성주군 대가면 옥화리","1**","단독","8m미만","69.10","271.00","202408","23","11,000","개인","개인","1999","옥화4길","-","중개거래","경북 성주군"
"1139","부산광역시 남구 용호동","5*","다가구","8m미만","112.70","131.30","202408","23","22,000","개인","개인","1979","동명로105번길","-","직거래","-"
"1140","충청남도 당진시 대호지면 출포리","8*","단독","8m미만","95.13","660.00","202408","23","14,580","개인","개인","2009","날개로","-","중개거래","충남 당진시"
"1141","강원특별자치도 영월군 무릉도원면 도원리","8**","단독","12m미만","48.00","701.00","202408","23","37,000","개인","개인","2015","도원운학로","-","중개거래","충북 제천시"
"1142","경상남도 통영시 태평동","9*","단독","12m미만","18.18","73.00","202408","23","6,200","개인","개인","1936","중앙로","-","중개거래","경남 통영시"
"1143","충청북도 제천시 서부동","8**","단독","25m미만","117.94","158.00","202408","23","16,700","개인","개인","1987","내제로6길","-","중개거래","충북 제천시"
"1144","경상남도 밀양시 상남면 기산리","1***","단독","8m미만","99.24","222.70","202408","23","16,100","개인","개인","1994","고노실길","-","중개거래","경남 밀양시"
"1145","경상북도 청도군 운문면 대천리","1***","단독","8m미만","93.56","172.00","202408","23","6,200","개인","개인","1992","대천3길","-","직거래","-"
"1146","대구광역시 달서구 본리동","1***","다가구","8m미만","321.53","188.80","202408","23","39,000","개인","개인","2002","본리서길","-","중개거래","대구 달서구"
"1147","충청남도 청양군 청양읍 읍내리","1**","단독","8m미만","42.90","82.00","202408","23","4,000","개인","개인","2014","칠갑산로16길","-","직거래","-"
"1148","제주특별자치도 서귀포시 표선면 하천리","2**","단독","8m미만","49.50","122.00","202408","23","4,000","개인","개인","1998","일주동로5661번길","-","직거래","-"
"1149","전라남도 순천시 저전동","2**","단독","8m미만","41.32","145.80","202408","23","9,500","법인","개인","1973","청사큰길","-","직거래","-"
"1150","경상남도 창녕군 대지면 창산리","2*","단독","8m미만","72.73","433.00","202408","23","3,700","개인","개인","1925","석동창산길","-","직거래","-"
"1151","전라남도 여수시 여서동","3**","단독","8m미만","110.85","173.90","202408","23","38,500","개인","개인","2011","여서동6길","20240823","직거래","-"
"1152","전북특별자치도 전주시 덕진구 진북동","9**","단독","8m미만","72.05","116.00","202408","23","3,008","개인","개인","1976","전주천서로","-","직거래","-"
"1153","경상남도 창원시 마산합포구 진전면 동산리","1**","단독","8m미만","29.75","205.00","202408","23","2,300","개인","개인","1998","동산1길","-","직거래","-"
"1154","경상북도 경주시 광명동","5**","단독","8m미만","23.00","155.00","202408","23","4,000","개인","개인","1955","고란1길","-","직거래","-"
"1155","전라남도 목포시 산정동","1***","단독","8m미만","39.67","102.30","202408","23","3,750","개인","개인","1978","동명마을길32번길","-","직거래","-"
"1156","강원특별자치도 삼척시 미로면 하정리","1**","단독","8m미만","129.60","354.00","202408","23","8,300","개인","개인","2003","하정길","-","직거래","-"
"1157","경상북도 경주시 양남면 서동리","1**","단독","8m미만","91.25","347.00","202408","23","9,600","개인","개인","2017","서동길","-","직거래","-"
"1158","경상북도 경주시 시래동","3**","단독","8m미만","148.64","599.00","202408","23","24,380","개인","개인","1984","윗시래1길","-","직거래","-"
"1159","전라남도 영광군 영광읍 단주리","6**","단독","12m미만","71.36","121.40","202408","23","6,500","개인","개인","2002","대하길","-","직거래","-"
"1160","경상남도 창원시 마산합포구 대성동2가","*","단독","8m미만","52.10","112.10","202408","23","8,000","개인","개인","1998","중앙남9길","-","중개거래","경남 창원시 마산회원구"
"1161","전북특별자치도 남원시 도통동","5**","단독","12m미만","191.30","182.20","202408","23","21,100","개인","개인","2020","시청북2길","-","직거래","-"
"1162","제주특별자치도 서귀포시 성산읍 성산리","2**","단독","8m미만","57.48","549.00","202408","23","87,000","개인","개인","1982","일출로288번길","-","중개거래","제주 서귀포시, 제주 제주시"
"1163","전라남도 무안군 현경면 동산리","6**","단독","8m미만","70.59","215.00","202408","23","2,200","개인","개인","2001","당두길","-","직거래","-"
"1164","울산광역시 울주군 상북면 지내리","8**","단독","8m미만","79.20","292.00","202408","23","21,639","개인","개인","2018","대리마을길","-","중개거래","울산 울주군"
"1165","경상북도 영덕군 영해면 괴시리","1**","단독","8m미만","134.02","113.00","202408","23","5,500","개인","개인","1996","예주7길","-","직거래","-"
"1166","경상북도 안동시 일직면 송리리","6**","단독","8m미만","67.66","258.00","202408","23","13,050","개인","개인","2020","굼치걸길","-","직거래","-"
"1167","충청남도 서산시 읍내동","4**","단독","12m미만","163.98","224.10","202408","23","28,400","개인","개인","1997","부춘4로","-","직거래","-"
"1168","경기도 파주시 파주읍 연풍리","2**","단독","8m미만","190.00","225.00","202408","23","9,000","개인","개인","1999","연풍3길","-","중개거래","경기 파주시"
"1169","충청남도 서천군 서면 도둔리","3**","단독","8m미만","49.59","337.00","202408","23","9,000","개인","개인","1976","공암남촌길152번길","-","직거래","-"
"1170","충청남도 서천군 마서면 신포리","1**","단독","8m미만","56.19","493.00","202408","23","1,961","개인","개인","1988","도삼길226번길","-","직거래","-"
"1171","인천광역시 옹진군 영흥면 내리","산1**","단독","12m미만","18.15","1298.00","202408","23","36,500","개인","개인","1982","영흥로722번길","-","직거래","-"
"1172","부산광역시 부산진구 양정동","3**","단독","8m미만","52.85","73.70","202408","23","49,600","법인","개인","1985","동평로405번길","-","직거래","-"
"1173","부산광역시 영도구 동삼동","2**","단독","8m미만","118.52","143.00","202408","23","6,500","개인","개인","1988","와치로161번길","-","중개거래","부산 중구"
"1174","경상북도 상주시 냉림동","3**","단독","8m미만","82.64","331.00","202408","23","24,500","개인","개인","1979","상산로","20241024","중개거래","대구 수성구"
"1175","대전광역시 대덕구 목상동","8**","단독","25m미만","484.48","202.50","202408","23","39,500","개인","개인","1998","대덕대로1448번길","-","중개거래","대전 대덕구"
"1176","대구광역시 수성구 범어동","2**","단독","8m미만","68.16","136.80","202408","23","63,000","개인","개인","1977","범어로19길","-","중개거래","대구 수성구"
"1177","경상남도 진주시 상대동","2**","단독","8m미만","165.55","146.00","202408","22","16,800","개인","개인","1991","대신로275번길","-","중개거래","경남 진주시"
"1178","강원특별자치도 정선군 여량면 남곡리","2*","단독","8m미만","68.75","258.00","202408","22","1,000","개인","개인","1995","송원동길","-","직거래","-"
"1179","경기도 성남시 수정구 신흥동","3***","다가구","8m미만","150.56","101.80","202408","22","83,000","개인","개인","1990","수정로228번길","-","중개거래","경기 성남시 수정구"
"1180","서울특별시 중구 인현동2가","9*","단독","8m미만","69.39","69.80","202408","22","137,000","개인","개인","1961","마른내로","-","중개거래","서울 중구"
"1181","울산광역시 동구 방어동","1***","다가구","12m미만","310.27","166.80","202408","22","40,700","개인","법인","2008","화암7길","20241014","중개거래","울산 동구"
"1182","경기도 이천시 호법면 단천리","6**","단독","12m미만","197.90","550.00","202408","22","21,000","개인","개인","1997","이섭대천로","-","직거래","-"
"1183","전라남도 함평군 함평읍 내교리","1**","단독","12m미만","149.66","475.00","202408","22","45,000","개인","개인","1991","광남길","-","직거래","-"
"1184","강원특별자치도 강릉시 난곡동","9*","단독","8m미만","195.40","482.00","202408","22","57,400","개인","개인","2023","난곡길22번길","20250123","중개거래","강원 강릉시"
"1185","부산광역시 수영구 민락동","1*","단독","8m미만","264.10","157.00","202408","22","85,000","개인","개인","2012","민락본동로27번길","-","중개거래","부산 수영구"
"1186","전라남도 광양시 옥룡면 추산리","9**","다가구","8m미만","121.80","337.00","202408","22","15,000","개인","개인","2012","백계로","-","중개거래","전남 광양시"
"1187","경기도 안산시 단원구 선부동","9**","다가구","8m미만","327.30","224.90","202408","22","54,500","개인","개인","1988","지곡로4길","-","중개거래","경기 안산시 단원구"
"1188","경기도 고양시 덕양구 화전동","1**","단독","8m미만","90.46","344.00","202408","22","100,000","법인","개인","2000","중앙로78번안길","20250117","직거래","-"
"1189","제주특별자치도 제주시 애월읍 신엄리","2***","단독","8m미만","99.90","562.00","202408","22","50,000","개인","개인","2014","부룡수길","-","직거래","-"
"1190","충청남도 청양군 장평면 미당리","2*","단독","8m미만","121.92","719.00","202408","22","8,000","개인","개인","2014","","-","직거래","-"
"1191","서울특별시 동대문구 이문동","1**","단독","8m미만","49.03","83.00","202408","22","53,000","개인","개인","1967","이문로42길","-","중개거래","서울 동대문구"
"1192","제주특별자치도 제주시 한림읍 귀덕리","7**","단독","25m미만","175.93","243.00","202408","22","38,000","개인","법인","2016","귀덕로","-","직거래","-"
"1193","전북특별자치도 군산시 경암동","6**","단독","8m미만","84.69","193.90","202408","22","6,000","개인","개인","1983","경암2길","-","직거래","-"
"1194","전북특별자치도 남원시 주천면 덕치리","2**","단독","8m미만","92.40","344.00","202408","22","3,000","개인","개인","1958","노치길","-","직거래","-"
"1195","경상북도 영천시 대창면 대재리","7**","단독","8m미만","39.70","274.00","202408","22","5,000","개인","개인","1901","양지촌길","-","직거래","-"
"1196","경상북도 경주시 동천동","8**","다가구","12m미만","656.50","369.20","202408","22","170,931","법인","법인","2024","백률로76번길","-","직거래","-"
"1197","경상남도 통영시 욕지면 동항리","6**","단독","8m미만","80.28","317.00","202408","22","22,500","개인","개인","1997","목과길","-","직거래","-"
"1198","충청남도 예산군 신양면 가지리","3**","단독","8m미만","76.90","1858.00","202408","22","10,000","개인","개인","1960","가지1길","-","중개거래","충남 공주시"
"1199","서울특별시 노원구 중계동","2*","단독","8m미만","20.00","168.00","202408","22","74,000","개인","개인","1988","중계로4나길","-","중개거래","경기 남양주시, 서울 노원구"
"1200","충청남도 청양군 정산면 서정리","1**","단독","25m미만","91.90","161.10","202408","22","3,600","개인","개인","1919","정현길","-","중개거래","충남 청양군"
"1201","서울특별시 성북구 장위동","2**","다가구","8m미만","148.55","106.00","202408","22","69,000","개인","개인","2017","장위로11길","-","중개거래","서울 동대문구, 서울 성북구"
"1202","충청북도 청주시 흥덕구 봉명동","2***","다가구","25m미만","407.10","205.20","202408","22","83,000","개인","개인","2015","월명로188번길","-","중개거래","충북 청주시 흥덕구"
